epoch,lr,train_loss,valid_loss,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,valid_mae
1,1.5e-05,0.9971413938918415,0.9223086788104131,0.5746686303387334,0.6057692307692307,0.43961081435038246,0.46749694749694753,0.6274897562785094
2,1.5e-05,0.80857551484115,0.851823457649776,0.6833578792341679,0.635989010989011,0.6086246391138759,0.5800301649277187,0.577066024414847
3,1.5e-05,0.6865478719808216,0.9093124126340006,0.7363770250368189,0.6387362637362637,0.6913371557434186,0.5991680596876386,0.580186848718018
4,1.5e-05,0.5773166097667677,1.0295314467870271,0.7888070692194403,0.6098901098901099,0.7605611446070871,0.5532185035252501,0.602801616963736
5,1.5e-05,0.4895249356752994,1.0666346975735255,0.8265095729013254,0.6098901098901099,0.8037631069714243,0.5822081797145736,0.5794257847285205
6,1.5e-05,0.40638386913532715,1.2334672147101098,0.8618556701030928,0.6181318681318682,0.8448294964179158,0.5990832944468947,0.5677398780647379
7,1.5e-05,0.35668172809090987,1.2303889465856028,0.8818851251840942,0.6112637362637363,0.8669560479510091,0.588552129781725,0.5690626619066429
