epoch,lr,train_loss,valid_loss,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,valid_mae
1,1.5e-05,0.9602611310703238,0.8723566171887157,0.6100147275405008,0.6332417582417582,0.4681598935442303,0.576634591096277,0.5984755444140839
2,1.5e-05,0.7286360046122667,0.8578979798725673,0.7216494845360825,0.6428571428571429,0.6665074356931325,0.6138154769376939,0.563256625505676
3,1.5e-05,0.522044398384347,1.0378013456260764,0.8159057437407953,0.625,0.7850486929135542,0.5782334802705328,0.5904139608277806
4,1.5e-05,0.36755615635192096,1.13154187307253,0.887481590574374,0.6002747252747253,0.8705369229497585,0.5889016979539745,0.5838470036256035
5,1.5e-05,0.24310498955674656,1.3899074295064906,0.9360824742268041,0.6057692307692307,0.9266408402942273,0.5955392552700155,0.5867507682350761
6,1.5e-05,0.1763445646536368,1.7005934820070372,0.961119293078056,0.6304945054945055,0.9550179697484866,0.5981710350370324,0.6127195057157263
