epoch,lr,train_loss,valid_loss,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,valid_mae
1,1.5e-05,1.0005100538874585,0.8986259718517681,0.5832106038291606,0.6236263736263736,0.42808041288820187,0.5419646430835822,0.6181369444027871
2,1.5e-05,0.8233577602917386,0.8543864206953363,0.6686303387334315,0.6442307692307693,0.5780036100985136,0.5764241849522745,0.5751306266283391
3,1.5e-05,0.7094785722962886,0.9429783532907675,0.7154639175257732,0.6483516483516484,0.658413282972648,0.5911832654441777,0.5891716773621738
4,1.5e-05,0.6005314045170095,0.9540806687795199,0.7737849779086893,0.6456043956043956,0.7421483117398768,0.6253668089249834,0.5596794586956173
5,1.5e-05,0.509277448518989,1.0252825296842134,0.8147275405007364,0.6304945054945055,0.7901359611797184,0.6224529233462944,0.5598971192049538
6,1.5e-05,0.4417808638756686,1.1602885958912608,0.8430044182621502,0.5879120879120879,0.820719627290579,0.5656344312252753,0.5754634719393165
7,1.5e-05,0.364144799152776,1.3629105588892003,0.8798232695139911,0.6126373626373627,0.8653101361307988,0.5773529068380364,0.5856717801243476
8,1.5e-05,0.32493992709446373,1.4410708310839895,0.8980854197349043,0.6291208791208791,0.8858243841450127,0.6102392112066336,0.5863276013418787
