epoch,lr,train_loss,valid_loss,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,valid_mae
1,1.5e-05,0.9797133977177919,0.8790621174560799,0.5817378497790869,0.6263736263736264,0.422821000614251,0.49484496851958765,0.6014031820219256
2,1.5e-05,0.8182954993620186,0.8494217539881612,0.6742268041237114,0.6565934065934066,0.5934713942730705,0.6149958228905598,0.5651500217109959
3,1.5e-05,0.6826079888090996,0.9057857309068952,0.7399116347569956,0.6524725274725275,0.693549010736347,0.6025715841892313,0.5721675023656584
4,1.5e-05,0.5791454845394758,0.9334120390179393,0.7852724594992636,0.6497252747252747,0.7510774368331697,0.616816282948147,0.5626154725854337
5,1.5e-05,0.4769330493480362,1.210984585049388,0.8288659793814434,0.6332417582417582,0.8067724737202405,0.5919324275028973,0.5897195160000043
6,1.5e-05,0.41696211937074285,1.200904552098159,0.8524300441826215,0.6071428571428571,0.8317992446088374,0.5955009915633088,0.5640924778603181
7,1.5e-05,0.34621486212613833,1.3716436192229553,0.8868924889543446,0.6181318681318682,0.8718425505320915,0.6023609301329187,0.5753178102460659
8,1.5e-05,0.30088046120701906,1.5612476972433238,0.9001472754050074,0.6236263736263736,0.8877944426732144,0.5776690723737569,0.6012384890959915
