model,seed,split,condition_id,group,missing_modalities,requested_rate,position,duration,effective_missing_rate,base_valid_bins,remaining_valid_bins,effective_missing_rate_text,remaining_ratio_text,effective_missing_rate_audio,remaining_ratio_audio,effective_missing_rate_vision,remaining_ratio_vision,accuracy,macro_f1,mae,rmse,pearson,f1_negative,f1_neutral,f1_positive,valid_sample_count
robust,43,valid,rate__vision__r0p30__random__medium,rate,vision,0.3,random,medium,0.09334693720401956,51946,47097,0.0,1.0,0.0,1.0,0.29946887351778656,0.7005311264822134,0.6387362637362637,0.598017055216658,0.5794416211243555,0.7727645400954797,0.6776640117805841,0.6716791979949875,0.4,0.7223719676549865,728
robust,43,test,rate__vision__r0p30__random__medium,rate,vision,0.3,random,medium,0.09283263065006374,50995,46261,0.0,1.0,0.0,1.0,0.29903354178510516,0.7009664582148948,0.6973865199449794,0.6365743794861825,0.6159723052983025,0.8366430922970207,0.694324251895898,0.6862745098039216,0.434108527131783,0.7893401015228427,727
robust,43,valid,rate__vision__r0p40__random__medium,rate,vision,0.4,random,medium,0.12447541677896277,51946,45480,0.0,1.0,0.0,1.0,0.39933300395256915,0.6006669960474308,0.6387362637362637,0.5991680596876386,0.580261267770266,0.7740514408753316,0.6764329062224734,0.6733668341708543,0.4025157232704402,0.7216216216216216,728
robust,43,test,rate__vision__r0p40__random__medium,rate,vision,0.4,random,medium,0.12409059711736445,50995,44667,0.0,1.0,0.0,1.0,0.39972206430421325,0.6002779356957868,0.6973865199449794,0.6378467065040931,0.6161294576226435,0.8367097532376537,0.6942819681990763,0.6862745098039216,0.4384615384615385,0.7888040712468194,727
robust,43,valid,rate__text+audio__r0p10__random__medium,rate,text+audio,0.1,random,medium,0.069514495822585,51946,48335,0.10076229332188104,0.899237706678119,0.1012495620693682,0.8987504379306318,0.0,1.0,0.6346153846153846,0.6005074798798238,0.5878269673698674,0.7885447280864448,0.6592698882963246,0.6716791979949875,0.422360248447205,0.7074829931972789,728
robust,43,test,rate__text+audio__r0p10__random__medium,rate,text+audio,0.1,random,medium,0.06935974115109324,50995,47458,0.10066087716423616,0.8993391228357638,0.10050430139424503,0.899495698605755,0.0,1.0,0.6740027510316369,0.6137475396363757,0.638839170249612,0.8749241967530882,0.6580848789617586,0.6567164179104477,0.4135338345864662,0.7709923664122137,727
robust,43,valid,rate__text+audio__r0p20__random__medium,rate,text+audio,0.2,random,medium,0.13812420590613328,51946,44771,0.20050461670603392,0.7994953832939661,0.20086418311339485,0.7991358168866052,0.0,1.0,0.6442307692307693,0.6097939197266921,0.5906065879312886,0.8007310187784626,0.644462872732762,0.670076726342711,0.43962848297213625,0.7196765498652292,728
robust,43,test,rate__text+audio__r0p20__random__medium,rate,text+audio,0.2,random,medium,0.1383665065202471,50995,43939,0.19979245179966137,0.8002075482003387,0.2016018985464254,0.7983981014535746,0.0,1.0,0.656121045392022,0.6011688764191742,0.6693256006613272,0.9154823823848443,0.616589779819544,0.6700251889168765,0.3898916967509025,0.7435897435897436,727
robust,43,valid,rate__text+audio__r0p30__random__medium,rate,text+audio,0.3,random,medium,0.20590613329226504,51946,41250,0.29869014386944387,0.7013098561305562,0.29966133364475067,0.7003386663552493,0.0,1.0,0.6346153846153846,0.6074550849209729,0.5897134258821197,0.792080848998973,0.6521796001415975,0.680628272251309,0.4355300859598854,0.7062068965517241,728
robust,43,test,rate__text+audio__r0p30__random__medium,rate,text+audio,0.3,random,medium,0.20635356407490932,50995,40472,0.2995248238571194,0.7004751761428806,0.2989617324236132,0.7010382675763869,0.0,1.0,0.6464924346629987,0.5853670258144678,0.6698645172510014,0.9171936385402646,0.6136985547036093,0.6381909547738693,0.36823104693140796,0.7496790757381259,727
