model,seed,best_epoch,test_accuracy,test_macro_f1,test_mae,test_pearson
baseline,42,2,0.7180192572214581,0.6707584158960307,0.6101917138981647,0.6996104505718134
baseline,43,3,0.6905089408528198,0.6583841632669444,0.6094890020575062,0.7022953617111495
baseline,44,3,0.6685006877579092,0.6382409744271668,0.6214118726677076,0.7046651689282837
robust_noaug,42,3,0.6795048143053645,0.6523641003418557,0.6119010321683208,0.6999799545840979
robust_noaug,43,3,0.6891334250343879,0.6489414385687441,0.6142113090145621,0.6897531159525454
robust_noaug,44,2,0.7001375515818432,0.656171466488272,0.6018886499752533,0.716167977036335
robust,42,4,0.6808803301237965,0.6241737967862435,0.606322966572384,0.6993569780353824
robust,43,3,0.7001375515818432,0.6412589854888912,0.6153655065712935,0.6952041818402349
robust,44,4,0.6987620357634112,0.6656415366050316,0.6012055638029741,0.6989401375313576
