epoch,lr,train_loss,valid_loss,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,valid_mae
1,1.5e-05,0.9580337112887443,0.8719742985872122,0.6061855670103092,0.6195054945054945,0.48529435510426494,0.5187838055170028,0.5985783201355773
2,1.5e-05,0.717528058520473,0.9046802782750392,0.7245949926362297,0.646978021978022,0.6688034268334774,0.5698856848050396,0.5898722419336152
3,1.5e-05,0.5188756492071194,1.01739493896673,0.8156111929307805,0.6277472527472527,0.7865344898823259,0.6098681887955464,0.5873256792559974
4,1.5e-05,0.35039133373346176,1.1342997544414395,0.8910162002945509,0.6263736263736264,0.8742868042077782,0.6071419690175426,0.5619978404777882
5,1.5e-05,0.2275436398997047,1.4424938290983766,0.9396170839469808,0.6181318681318682,0.9302400269861524,0.5964996368351206,0.5702423519751691
6,1.5e-05,0.1582010697150968,1.9279413314966054,0.9652430044182622,0.6236263736263736,0.9603305339600565,0.6094326079540356,0.6606840617893325
7,1.5e-05,0.13260741202114082,1.9315632286962572,0.9726067746686303,0.6222527472527473,0.9687769785377491,0.5962503677659816,0.5909331784338004
