epoch,lr,train_loss,valid_loss,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,valid_mae
1,1.5e-05,0.9272909255723012,0.8676934556646662,0.6103092783505155,0.635989010989011,0.5050950368307048,0.5741512725933227,0.6032821486862683
2,1.5e-05,0.6757654767148801,0.868319937161037,0.7381443298969073,0.6414835164835165,0.6870242019982298,0.6105367634498272,0.5734618548278256
3,1.5e-05,0.4583142987933882,1.1884843680884811,0.845360824742268,0.5975274725274725,0.8224087392067064,0.58588936362237,0.6463435507062208
4,1.5e-05,0.27789792705969185,1.2602208381170754,0.9142857142857143,0.5947802197802198,0.9013423470702387,0.5938142145165713,0.5842796909919643
5,1.5e-05,0.17032347709511095,1.6666811003789797,0.957879234167894,0.6208791208791209,0.9503869571228035,0.5922331059237969,0.6072688811985715
6,1.5e-05,0.1028953007421016,1.9554773909705025,0.979381443298969,0.6291208791208791,0.9756806100541349,0.6089273920156274,0.5837783386475396
