epoch,lr,train_loss,valid_loss,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,valid_mae
1,1.5e-05,0.9110199263942084,0.8454646776010702,0.6229749631811488,0.646978021978022,0.5252912145967097,0.5678295169304851,0.5771839209361472
2,1.5e-05,0.6638490488322037,0.869467155618982,0.7434462444771723,0.6346153846153846,0.6985169543452749,0.5789238481767686,0.5739108935295307
3,1.5e-05,0.45231696234711494,0.966819594849597,0.8427098674521355,0.6208791208791209,0.8192687887680264,0.6070838759371134,0.5729767198029619
4,1.5e-05,0.2779386074272628,1.3586281190861713,0.9187039764359352,0.6373626373626373,0.9091900220157485,0.5789800344905307,0.6302365306803219
5,1.5e-05,0.16759631139759815,1.4842134570027445,0.9569955817378498,0.6304945054945055,0.9496694750862235,0.5978728846227688,0.59781626608366
6,1.5e-05,0.0962039707159961,1.999453489597027,0.982621502209131,0.6304945054945055,0.9802569052561493,0.5835178223336118,0.6460677144260933
7,1.5e-05,0.07602661461000151,2.1016231572235022,0.9888070692194404,0.635989010989011,0.9878139185726549,0.5892698586365591,0.5742774928912295
