epoch,lr,train_loss,valid_loss,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,valid_mae
1,0.0002997069691715983,0.9425731333260684,0.9414227788264935,0.6079528718703976,0.6222527472527473,0.5148009275398845,0.5767346129048256,0.661275905500688
2,0.00029882903314519993,0.8018672647462151,0.9342619606426784,0.6851251840942563,0.6126373626373627,0.6327139375316427,0.5522136790793506,0.611915030839065
3,0.0002973696567332102,0.7306632681693526,1.0080017709470057,0.7131075110456554,0.5975274725274725,0.668112036537341,0.5692981092077893,0.6366437476148809
4,0.00029533459942760165,0.6635489300090891,1.0107097651932266,0.7466863033873343,0.592032967032967,0.7115293100118713,0.5664832876770439,0.6389707690309528
5,0.00029273189266983027,0.5980365869574062,1.103202639045296,0.7846833578792342,0.5741758241758241,0.7569059213744573,0.5657703594663189,0.623163619216859
6,0.0002895718081544053,0.5183802607484348,1.132686232472514,0.8159057437407953,0.5673076923076923,0.7933837589782665,0.5441249565996016,0.6390258385492795
7,0.0002858668172912039,0.45645506617246917,1.309417575270265,0.8403534609720177,0.5618131868131868,0.8206344849022879,0.5406156661430614,0.6527757300729198
8,0.00028163154198651373,0.3872150504711977,1.3942888254647727,0.869219440353461,0.5686813186813187,0.8536661870659815,0.5398000722057783,0.666887612028334
9,0.00027688269693704925,0.34148730002727706,1.5365660740778997,0.8945508100147276,0.5673076923076923,0.8818467296759458,0.5420339444165411,0.6634413631438472
10,0.0002716390236646797,0.2744401111825752,1.433043589958778,0.9181148748159057,0.5892857142857143,0.9084615793316096,0.5749489460615442,0.6443962875656415
11,0.00026592121655220473,0.24124979635752705,1.682403170145475,0.9281296023564065,0.5755494505494505,0.9203277820074581,0.5484536945331789,0.7018605076892117
12,0.00025975184117207965,0.21947799852565042,1.7982975048023266,0.9357879234167894,0.5796703296703297,0.9291735321960836,0.5551820447387121,0.6750863095141619
13,0.00025315524523041033,0.20414527759109577,1.8578575115937452,0.9431516936671576,0.5480769230769231,0.9373991293081355,0.5373728123728124,0.6673413025737218
14,0.00024615746247768044,0.17751029414921693,1.9338624280887646,0.9531664212076584,0.5782967032967034,0.9475378324400651,0.5664726749413176,0.659712292576352
15,0.00023878610996543232,0.16250786465621486,2.014934327576187,0.9608247422680413,0.5810439560439561,0.956879052314973,0.545449050639446,0.6715656187753756
16,0.00023107027905438102,0.1376657527966071,2.168017023212307,0.9690721649484536,0.5851648351648352,0.9666443433120574,0.5537844671856634,0.6746942952689766
17,0.00022304042060410475,0.13301120572922331,2.1307388098685296,0.9655375552282769,0.5659340659340659,0.9613182235849234,0.5354636589774999,0.6606406613948991
18,0.00021472822479741332,0.1149047646336861,2.2007436044923554,0.974079528718704,0.5590659340659341,0.970248980400218,0.5371524048215778,0.6652795465683544
19,0.0002061664960736747,0.10315554717854653,2.4486687654977315,0.9802650957290132,0.5769230769230769,0.978192264477786,0.535748109876562,0.6970716307328625
20,0.0001973890236646797,0.10198014274854021,2.5649993223148386,0.9802650957290132,0.5590659340659341,0.9778465209490923,0.5381137630506653,0.6694087108755791
21,0.00018843044824398092,0.11377085838823502,2.249748463159079,0.9743740795287187,0.5728021978021978,0.9717933816850451,0.55040832498847,0.6225288405113822
22,0.00017932612521598013,0.0744825819542903,2.4615698659813012,0.9876288659793815,0.5755494505494505,0.9862491327370062,0.5464653754977759,0.6323496405275764
