epoch,lr,head_lr,train_loss,train_accuracy,train_macro_f1,train_mae,train_classification_loss,train_regression_loss,train_rmse,train_pearson,valid_loss,valid_accuracy,valid_macro_f1,valid_mae,valid_classification_loss,valid_regression_loss,valid_rmse,valid_pearson
1,1.5e-05,7.500000000000001e-05,0.6530081606473066,0.7549337260677467,0.690408660712583,0.5482542721140411,0.6004964651520719,0.35007796996823115,0.7239555104501327,0.7680390411936967,0.8676934606917612,0.635989010989011,0.5741512725933227,0.6032821486862683,0.8075355265166734,0.4010528945005857,0.7972098153276707,0.6505442192199041
2,1.5e-05,7.500000000000001e-05,0.4237362264147212,0.8703976435935199,0.8474498287564364,0.4401372317894086,0.3852052716689187,0.25687303163868336,0.5918099120353278,0.8504743316102149,0.86831992992333,0.6414835164835165,0.6105367634498272,0.5734618548278256,0.8124074660814725,0.3727497589457166,0.7626325327659046,0.6865242581420195
3,1.5e-05,7.500000000000001e-05,0.3587127530767921,0.8848306332842415,0.8654169693390136,0.47741339552889694,0.3158035633665824,0.2860612647347317,0.6188228447859271,0.8694032075900913,1.188484380205909,0.5975274725274725,0.58588936362237,0.6463435507062208,1.122538346510667,0.43964022463494606,0.8601064340217272,0.6686090865656286
4,1.5e-05,7.500000000000001e-05,0.13483385369071904,0.9714285714285714,0.9677167028475316,0.38345157000536595,0.10324098417790543,0.21061913008542404,0.5201605139774839,0.8872461326426218,1.2602208102142418,0.5947802197802198,0.5938142145165713,0.5842796909919643,1.2026451839195502,0.3838375086312766,0.7803298997543927,0.669657652373368
5,1.5e-05,7.500000000000001e-05,0.06567844011558875,0.9888070692194404,0.9864373277864379,0.40993131687082845,0.031094138624917424,0.23056200993780887,0.5309988742914332,0.8961655489972513,1.6666810697251624,0.6208791208791209,0.5922331059237969,0.6072688811985715,1.6060841607523488,0.4039793931520902,0.8083488719915428,0.6677264635338035
