main_modality,positions,negative_fraction,zero_fraction,positive_fraction,min_drop,median_drop,max_drop
text,1800,0.2966666666666667,0.23833333333333334,0.465,-0.04783433675765991,0.0,0.11219829320907593
audio,100,0.39,0.0,0.61,-0.0009894371032714844,5.960464477539063e-08,0.02102518081665039
vision,100,0.35,0.07,0.58,-5.960464477539063e-08,0.0009861588478088379,0.008209407329559326
