split,intensity_bin,n,accuracy,mae,rmse,bias
valid,0,184,0.3967391304347826,0.39018622152102383,0.5176391197391944,0.11091343511867782
valid,"(0, 0.5]",147,0.5306122448979592,0.46483531907251496,0.5812587181079939,-0.06202449103449883
valid,"(0.5, 1]",198,0.7272727272727273,0.4828717943017531,0.6137402641683375,-0.06602055825895131
valid,"(1, 2]",163,0.852760736196319,0.7983038614909708,0.9964867012039479,-0.18720249600845612
valid,"(2, 3]",36,0.9166666666666666,1.4339730265653796,1.5635042455570793,-0.07605298629237546
test,0,158,0.4240506329113924,0.41088658326034305,0.537168931575678,0.1350113014584478
test,"(0, 0.5]",130,0.6538461538461539,0.3985925479863699,0.5284862179417806,0.07542200458164398
test,"(0.5, 1]",202,0.7821782178217822,0.5157887899676467,0.6897106026676925,-0.09745445869641729
test,"(1, 2]",188,0.9095744680851063,0.8083254765382314,0.9764509860347357,-0.14626811592383904
test,"(2, 3]",49,0.8367346938775511,1.4432191724071697,1.690847503736185,0.34027139234299564
