split,accuracy,macro_f1,mae,rmse,pearson,bias,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
valid,0.6222527472527473,0.5767346129048256,0.6612825051185439,0.8880490312866021,0.5581920772221911,-0.13266665911670406,-0.019230769230769273,-0.033802150545001575,0.08782065029071828,-0.12833218091982823
test,0.640990371389271,0.5515648988514017,0.6928641619532275,0.9141141249642397,0.6216517194478093,-0.10603788404877937,-0.07702888583218714,-0.11919351704462888,0.0826724480550628,-0.07795873112400431
