modality,records,mean_top5_mass,mean_positive_bins,peak_of_mean_bin,peak_of_mean_value
text,36,0.5578067836443232,23.25,18,0.045696755795591015
audio,2,0.5600231812787089,30.5,9,0.12118695002429848
vision,2,0.29239201935609754,29.0,4,0.058851681687534685
