split,model,accuracy,accuracy_sd,macro_f1,macro_f1_sd,mae,mae_sd,pearson,pearson_sd
valid,baseline,0.6286630036630036,0.011187538207757,0.6095907850358443,0.0021927121324525505,0.5779588355549744,0.008212721323898827,0.682595148331027,0.003423052469497725
valid,robust_noaug,0.6336996336996337,0.00804871603994827,0.6151736884528932,0.006099102873588971,0.5747184743533328,0.01207533508762896,0.6803624101343946,0.00830180110817546
valid,robust,0.6446886446886446,0.005551444896054134,0.613783717186923,0.01336005077544354,0.5674939266663562,0.011089984086889737,0.6863358912348926,0.007923216575340411
test,baseline,0.6923429619440623,0.024810177457072372,0.6557945178633805,0.016412668808191953,0.6136975295411262,0.006690049954127828,0.7021903270704155,0.002528995575841339
test,robust_noaug,0.6895919303071985,0.010324007564601317,0.6524923351329573,0.00361671937680058,0.6093336637193788,0.006550230302381167,0.7019670158576594,0.013319066442421585
test,robust,0.6932599724896836,0.010743121975112294,0.643691439626722,0.02084060906665549,0.6076313456488839,0.007170068804159933,0.6978337658023249,0.0022868040715614333
