model,accuracy,macro_f1,mae,rmse,pearson,bias
Legacy,0.6492434662998624,0.6161913316208008,0.642198945722316,0.8863622113362539,0.6457683268279759,0.0029547098342539357
Hybrid cosine,0.6492434662998624,0.5568564531308646,0.7014124724883304,0.9572990563789489,0.6260225506602222,0.02047603237961497
Hybrid ordinal,0.6643741403026134,0.6032092401045214,0.7386038937055707,0.9789942317514868,0.6553080502236777,0.05606550706052151
BERT AV reference,0.7180192572214581,0.6707584158960306,0.6101917138981647,0.8270947664019176,0.6996104505718136,0.0008607125178778844
BERT AV history,0.6891334250343879,0.6583429236118845,0.6179661337168377,0.8621957712593665,0.6772964650104666,0.012369635821085684
