model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,rmse_mean,rmse_sd,pearson_mean,pearson_sd,f1_negative_mean,f1_negative_sd,f1_neutral_mean,f1_neutral_sd,f1_positive_mean,f1_positive_sd,effective_missing_rate_mean,effective_missing_rate_sd
baseline,test,duration__audio__r0p30__random__medium,duration,audio,0.3,random,medium,0.6937184777624942,0.02618301978041126,0.6572158294474858,0.0182232508131523,0.6133445458348322,0.006942018335165616,0.8294531221226228,0.004730407301096677,0.7019585004994792,0.0025653282051604723,0.7161984592071381,0.012977511494647275,0.48539809077165463,0.023580346917893884,0.770050938363665,0.0259838176119839,0.09881360917737032,1.6996749443881478e-17
baseline,test,duration__audio__r0p30__random__short,duration,audio,0.3,random,short,0.6923429619440623,0.024074801637460036,0.655716039762639,0.015684116421600704,0.6136777855994769,0.007045103486872939,0.8294903380697075,0.004839832468610659,0.7020176678730768,0.0023264593964184344,0.7173588539785722,0.011985336658132742,0.48152988755178533,0.023086385683814513,0.7682593777575596,0.02521408249983344,0.09881360917737032,1.6996749443881478e-17
baseline,test,duration__text__r0p30__random__long,duration,text,0.3,random,long,0.6396148555708391,0.014360806752284112,0.6063116242357028,0.0029096654405645008,0.6878069498542491,0.01739146366822342,0.9231733147878515,0.013539746214054175,0.6096352613487156,0.00929653535492415,0.6319335805947599,0.01301357764690674,0.4522486802717102,0.023477588727303683,0.7347526118406384,0.019280515260226092,0.10753995489753898,0.0
baseline,test,duration__text__r0p30__random__medium,duration,text,0.3,random,medium,0.6235671710224667,0.014578737364130769,0.591648710167564,0.011141877086033654,0.692581808164627,0.017544535411165033,0.9301956138856884,0.025927125593744663,0.6003577999765956,0.032274122967659365,0.6285038056651194,0.023407152505410884,0.4335557848870542,0.025166102637088034,0.7128865399505182,0.020009166140972336,0.10753995489753898,0.0
baseline,test,duration__text__r0p30__random__short,duration,text,0.3,random,short,0.6111875286565795,0.010684255110253161,0.5796763032679905,0.00620105367282284,0.7148886865879427,0.012110145635823865,0.9482987517551295,0.021791410254447422,0.576984602882861,0.031246074463192806,0.6176687607665458,0.02461449490379971,0.4272814968879106,0.0440207396538656,0.6940786521495151,0.021090820545308066,0.10753995489753898,0.0
baseline,test,duration__vision__r0p30__random__long,duration,vision,0.3,random,long,0.6918844566712518,0.024873646932634334,0.6556337554738604,0.01579797752185607,0.6133653821456956,0.006132465186407736,0.8291638893359194,0.004012787999036411,0.7021633294749563,0.002955245565441097,0.7161713876620328,0.011777170850247355,0.482937062937063,0.01959390145251227,0.7677928158224855,0.026664889172816928,0.09283263065006374,0.0
baseline,test,duration__vision__r0p30__random__medium,duration,vision,0.3,random,medium,0.6923429619440623,0.024810177457072372,0.6555310067848183,0.016360031917351033,0.6130411097645786,0.006998569868051819,0.8289584900569368,0.004550057453609683,0.702299947229544,0.0024196078611974725,0.7161713876620328,0.011777170850247355,0.4819548904616462,0.020993110301995976,0.7684667422307765,0.025729442201193737,0.09283263065006374,0.0
baseline,test,duration__vision__r0p30__random__short,duration,vision,0.3,random,short,0.6918844566712518,0.02521362143029348,0.6561681227414256,0.01641619007944511,0.6134368957369215,0.006230271404121678,0.8293238854454564,0.004086833811510318,0.7020313308213977,0.0025023905741881182,0.7173588539785722,0.011985336658132742,0.4842225410272647,0.018580971895694527,0.7669229732184396,0.02611633272803274,0.09283263065006374,0.0
baseline,test,position__audio__r0p30__middle__medium,position,audio,0.3,middle,medium,0.6914259513984411,0.02141273622895114,0.6536433734538666,0.01082643264205225,0.6143497490900125,0.006749829028198507,0.8299139694380092,0.004708249754488573,0.7015794655132767,0.0031219420098027944,0.7151844234197174,0.010568439653077934,0.47703066164604624,0.017272216406194293,0.7687150352958362,0.02364268043418469,0.09881360917737032,1.6996749443881478e-17
baseline,test,position__audio__r0p30__prefix__medium,position,audio,0.3,prefix,medium,0.6914259513984411,0.02496223308356942,0.6545946016506871,0.016814439498715417,0.6136073829112544,0.00626781346432716,0.82937789081257,0.004232479172272848,0.7020163125879563,0.0028520446407880934,0.7156439858473944,0.013282146754109103,0.4796985217448639,0.02227968347701289,0.7684412973598032,0.025053104404964725,0.09881360917737032,1.6996749443881478e-17
