split,class,support,correct,precision,recall,f1,predicted_count
valid,Negative,206,155,0.5871212121212122,0.7524271844660194,0.6595744680851063,264
valid,Neutral,184,53,0.5196078431372549,0.28804347826086957,0.3706293706293707,102
valid,Positive,338,245,0.6767955801104972,0.7248520710059172,0.7,362
test,Negative,207,158,0.5787545787545788,0.7632850241545893,0.6583333333333333,273
test,Neutral,158,28,0.4057971014492754,0.17721518987341772,0.24669603524229072,69
test,Positive,362,280,0.7272727272727273,0.7734806629834254,0.7496653279785811,385
