model,seed,recorded_epochs,best_valid_epoch,best_valid_f1,last_train_f1,last_valid_f1,last_gap
baseline,42,6,2.0,0.6105367634498272,0.9756806100541349,0.6089273920156274,0.36675321803850747
baseline,43,7,3.0,0.6070838759371134,0.9878139185726549,0.5892698586365591,0.39854405993609576
baseline,44,7,3.0,0.6111517157205923,0.9793091280993357,0.5924243632724874,0.3868847648268483
robust_noaug,42,7,3.0,0.6218373996254393,0.9732232680727141,0.6120663403520495,0.36115692772066454
robust_noaug,43,7,3.0,0.6098681887955464,0.9687769785377491,0.5962503677659816,0.3725266107717675
robust_noaug,44,6,2.0,0.6138154769376939,0.9550179697484866,0.5981710350370324,0.35684693471145423
robust,42,8,4.0,0.616816282948147,0.8877944426732144,0.5776690723737569,0.3101253702994575
robust,43,7,3.0,0.5991680596876386,0.8669560479510091,0.588552129781725,0.2784039181692841
robust,44,8,4.0,0.6253668089249834,0.8858243841450127,0.6102392112066336,0.27558517293837914
