variant,modality,main_count,mean_contribution,median_contribution,zero_count
aligned,text,18,0.8401443291327994,0.9686332556591606,0
aligned,audio,0,0.07590004127397529,0.0017811215561656002,7
aligned,vision,2,0.08395562959322525,0.0034586404599916618,9
unaligned,text,18,0.878277489390204,0.9877247044137811,0
unaligned,audio,2,0.0938951039087018,0.007992056075994548,6
unaligned,vision,0,0.02782740670109422,0.003976791058317485,7
