modality,n_records,spearman,mean_attention,mean_contribution,mean_abs_difference
text,40,0.554554218054317,0.8546924747526645,0.8592109092615019,0.12350303291846924
audio,40,0.2760485176245456,0.09958992005558684,0.08489757259133854,0.09313811393539265
vision,40,0.4732220086900263,0.04571760676417398,0.05589151814715974,0.04631486954209602
